Age,Total Number,Number of Females,Number of Males,,Age,Total Number,Number of Females,Number of Males
0,103,50,53,,0,98,57,41
1,77,36,41,,1,74,34,40
2,71,41,30,,2,69,33,36
3,70,29,41,,3,61,29,32
4,68,31,37,,4,60,34,26
5,61,30,31,,5,54,28,26
6,58,28,30,,6,57,27,30
7,51,24,27,,7,59,31,28
8,52,22,30,,8,58,25,33
9,51,29,22,,9,57,25,32
10,51,27,24,,10,60,26,34
11,50,27,23,,11,63,36,27
12,51,26,25,,12,64,38,26
13,48,27,21,,13,60,30,30
14,47,26,21,,14,63,33,30
15,49,25,24,,15,59,34,25
16,48,28,20,,16,52,24,28
17,47,27,20,,17,55,30,25
18,43,19,24,,18,49,21,28
19,42,25,17,,19,50,30,20
20,42,18,24,,20,53,29,24
21,37,16,21,,21,57,27,30
22,39,19,20,,22,65,40,25
23,41,24,17,,23,53,23,30
24,42,17,25,,24,56,29,27
25,43,25,18,,25,50,24,26
26,45,21,24,,26,53,21,32
27,48,26,22,,27,49,26,23
28,49,29,20,,28,43,24,19
29,47,27,20,,29,40,16,24
30,46,24,22,,30,38,17,21
31,42,22,20,,31,35,16,19
32,42,20,22,,32,37,18,19
33,44,22,22,,33,33,18,15
34,46,24,22,,34,20,15,5
35,49,24,25,,35,33,18,15
36,47,23,24,,36,30,12,18
37,48,25,23,,37,29,17,12
38,46,21,25,,38,29,16,13
39,41,24,17,,39,26,13,13
49,41,24,17,,49,10,6,4
41,42,19,23,,41,24,11,13
42,43,26,17,,42,25,14,11
43,38,20,18,,43,22,10,12
44,34,20,14,,44,21,10,11
45,34,15,19,,45,22,12,10
46,33,16,17,,46,11,8,3
47,30,13,17,,47,21,11,10
48,35,20,15,,48,21,12,9
49,26,11,15,,49,19,9,10
50,21,10,11,,50,15,6,9
51,18,9,9,,51,5,4,1
52,14,8,6,,52,10,5,5
53,5,4,1,,53,9,4,5
54,9,4,5,,54,7,4,3
55,7,4,3,,55,6,2,4
56,6,3,3,,56,5,3,2
57,0,0,0,,57,4,2,2
58,4,3,1,,58,7,4,3
59,4,2,2,,59,0,0,0
60,4,2,2,,60,2,2,0
61,3,1,2,,61,3,1,2
62,2,1,1,,62,0,0,0
63,2,1,1,,63,2,0,2
64,1,0,1,,64,0,0,0
65,3,3,0,,65,2,1,1
66,0,0,0,,66,0,0,0
67,2,0,2,,67,1,1,0
68,1,1,0,,68,0,0,0
69,0,0,0,,69,0,0,0
70,2,2,0,,70,0,0,0
